,AMR,Capacity,HM,PLC,Site
504,33122,40.0,04:15:10,CC-C8-1E,PNB_TVL_OHSR_01
506,33122,40.0,04:16:14,CC-C8-1E,PNB_TVL_OHSR_01
508,33122,40.0,04:17:18,CC-C8-1E,PNB_TVL_OHSR_01
510,33122,40.0,04:18:21,CC-C8-1E,PNB_TVL_OHSR_01
512,33122,40.0,04:19:24,CC-C8-1E,PNB_TVL_OHSR_01
514,33122,40.0,04:20:28,CC-C8-1E,PNB_TVL_OHSR_01
516,33122,40.0,04:21:32,CC-C8-1E,PNB_TVL_OHSR_01
518,33122,40.0,04:22:36,CC-C8-1E,PNB_TVL_OHSR_01
521,33122,40.0,04:23:40,CC-C8-1E,PNB_TVL_OHSR_01
523,33122,40.0,04:24:57,CC-C8-1E,PNB_TVL_OHSR_01
525,33122,40.0,04:26:00,CC-C8-1E,PNB_TVL_OHSR_01
525,33122,40.0,04:26:00,CC-C8-1E,PNB_TVL_OHSR_01
529,33122,40.0,04:28:02,CC-C8-1E,PNB_TVL_OHSR_01
529,33122,40.0,04:28:02,CC-C8-1E,PNB_TVL_OHSR_01
533,33122,40.0,04:30:04,CC-C8-1E,PNB_TVL_OHSR_01
533,33122,40.0,04:30:04,CC-C8-1E,PNB_TVL_OHSR_01
537,33122,40.0,04:32:06,CC-C8-1E,PNB_TVL_OHSR_01
537,33122,40.0,04:32:06,CC-C8-1E,PNB_TVL_OHSR_01
541,33122,40.0,04:34:08,CC-C8-1E,PNB_TVL_OHSR_01
541,33122,40.0,04:34:08,CC-C8-1E,PNB_TVL_OHSR_01
546,33122,40.0,04:36:10,CC-C8-1E,PNB_TVL_OHSR_01
546,33122,40.0,04:36:10,CC-C8-1E,PNB_TVL_OHSR_01
549,33122,40.0,04:38:04,CC-C8-1E,PNB_TVL_OHSR_01
549,33122,40.0,04:38:04,CC-C8-1E,PNB_TVL_OHSR_01
553,33122,40.0,04:40:11,CC-C8-1E,PNB_TVL_OHSR_01
553,33122,40.0,04:40:11,CC-C8-1E,PNB_TVL_OHSR_01
557,33122,40.0,04:42:16,CC-C8-1E,PNB_TVL_OHSR_01
557,33122,40.0,04:42:16,CC-C8-1E,PNB_TVL_OHSR_01
561,33122,40.0,04:44:18,CC-C8-1E,PNB_TVL_OHSR_01
561,33122,40.0,04:44:18,CC-C8-1E,PNB_TVL_OHSR_01
565,33122,40.0,04:46:20,CC-C8-1E,PNB_TVL_OHSR_01
565,33122,40.0,04:46:20,CC-C8-1E,PNB_TVL_OHSR_01
570,33122,40.0,04:48:22,CC-C8-1E,PNB_TVL_OHSR_01
570,33122,40.0,04:48:22,CC-C8-1E,PNB_TVL_OHSR_01
574,33122,40.0,04:50:24,CC-C8-1E,PNB_TVL_OHSR_01
574,33122,40.0,04:50:24,CC-C8-1E,PNB_TVL_OHSR_01
577,33122,40.0,04:52:07,CC-C8-1E,PNB_TVL_OHSR_01
577,33122,40.0,04:52:07,CC-C8-1E,PNB_TVL_OHSR_01
581,33122,40.0,04:54:15,CC-C8-1E,PNB_TVL_OHSR_01
581,33122,40.0,04:54:15,CC-C8-1E,PNB_TVL_OHSR_01
585,33122,40.0,04:56:23,CC-C8-1E,PNB_TVL_OHSR_01
585,33122,40.0,04:56:23,CC-C8-1E,PNB_TVL_OHSR_01
589,33122,40.0,04:58:31,CC-C8-1E,PNB_TVL_OHSR_01
589,33122,40.0,04:58:31,CC-C8-1E,PNB_TVL_OHSR_01
594,33122,40.0,05:00:34,CC-C8-1E,PNB_TVL_OHSR_01
594,33122,40.0,05:00:34,CC-C8-1E,PNB_TVL_OHSR_01
598,33122,40.0,05:02:36,CC-C8-1E,PNB_TVL_OHSR_01
598,33122,40.0,05:02:36,CC-C8-1E,PNB_TVL_OHSR_01
601,33122,40.0,05:04:04,CC-C8-1E,PNB_TVL_OHSR_01
601,33122,40.0,05:04:04,CC-C8-1E,PNB_TVL_OHSR_01
605,33122,40.0,05:06:11,CC-C8-1E,PNB_TVL_OHSR_01
605,33122,40.0,05:06:11,CC-C8-1E,PNB_TVL_OHSR_01
609,33122,40.0,05:08:19,CC-C8-1E,PNB_TVL_OHSR_01
609,33122,40.0,05:08:19,CC-C8-1E,PNB_TVL_OHSR_01
613,33122,40.0,05:10:27,CC-C8-1E,PNB_TVL_OHSR_01
613,33122,40.0,05:10:27,CC-C8-1E,PNB_TVL_OHSR_01
618,33122,40.0,05:12:46,CC-C8-1E,PNB_TVL_OHSR_01
618,33122,40.0,05:12:46,CC-C8-1E,PNB_TVL_OHSR_01
622,33122,40.0,05:14:48,CC-C8-1E,PNB_TVL_OHSR_01
622,33122,40.0,05:14:48,CC-C8-1E,PNB_TVL_OHSR_01
625,33122,40.0,05:16:00,CC-C8-1E,PNB_TVL_OHSR_01
625,33122,40.0,05:16:00,CC-C8-1E,PNB_TVL_OHSR_01
629,33122,40.0,05:18:07,CC-C8-1E,PNB_TVL_OHSR_01
629,33122,40.0,05:18:07,CC-C8-1E,PNB_TVL_OHSR_01
633,33122,40.0,05:20:17,CC-C8-1E,PNB_TVL_OHSR_01
633,33122,40.0,05:20:17,CC-C8-1E,PNB_TVL_OHSR_01
637,33122,40.0,05:22:28,CC-C8-1E,PNB_TVL_OHSR_01
637,33122,40.0,05:22:28,CC-C8-1E,PNB_TVL_OHSR_01
642,33122,40.0,05:24:48,CC-C8-1E,PNB_TVL_OHSR_01
